prefix,namespace
madsrdf:,<http://www.loc.gov/mads/rdf/v1#>
bflc:,<http://id.loc.gov/ontologies/bflc/>
rdf:,<http://www.w3.org/1999/02/22-rdf-syntax-ns#>
foaf:,<http://xmlns.com/foaf/0.1/>
yago:,<http://yago-knowledge.org/resource/>
rdfs:,<http://www.w3.org/2000/01/rdf-schema#>
dbo:,<http://dbpedia.org/ontology/>
dbp:,<http://dbpedia.org/property/>
ex:,<http://example.org/>
dc:,<http://purl.org/dc/elements/1.1/>
owl:,<http://www.w3.org/2002/07/owl#>
gr:,<http://purl.org/goodrelations/v1#>
spacerel:,<http://data.ordnancesurvey.co.uk/ontology/spatialrelations/>
skos:,<http://www.w3.org/2004/02/skos/core#>
geo:,<http://www.w3.org/2003/01/geo/wgs84_pos#>
schema:,<http://schema.org/>
xsd:,<http://www.w3.org/2001/XMLSchema#>
dcat:,<http://www.w3.org/ns/dcat#>
bf:,<http://id.loc.gov/ontologies/bibframe/>
sd:,<http://www.w3.org/ns/sparql-service-description#>
frbr:,<http://purl.org/vocab/frbr/core#>
org:,<http://www.w3.org/ns/org#>
qb:,<http://purl.org/linked-data/cube#>
dcterms:,<http://purl.org/dc/terms/>
prov:,<http://www.w3.org/ns/prov#>
sioc:,<http://rdfs.org/sioc/ns#>
xtypes:,<http://purl.org/xtypes/>
ont:,<http://purl.org/net/ns/ontology-annot#>
dct:,<http://purl.org/dc/terms/>
search:,<http://sindice.com/vocab/search#>
commerce:,<http://search.yahoo.com/searchmonkey/commerce/>
dbpedia:,<http://dbpedia.org/resource/>
void:,<http://rdfs.org/ns/void#>
onto:,<http://www.ontotext.com/>
rss:,<http://purl.org/rss/1.0/>
gldp:,<http://www.w3.org/ns/people#>
bibo:,<http://purl.org/ontology/bibo/>
geonames:,<http://www.geonames.org/ontology#>
event:,<http://purl.org/NET/c4dm/event.owl#>
wd:,<http://www.wikidata.org/entity/>
fb:,<http://rdf.freebase.com/ns/>
pto:,<http://www.productontology.org/id/>
dbr:,<http://dbpedia.org/resource/>
dcmit:,<http://purl.org/dc/dcmitype/>
vcard:,<http://www.w3.org/2006/vcard/ns#>
cc:,<http://creativecommons.org/ns#>
md:,<http://www.w3.org/ns/md#>
sc:,<http://purl.org/science/owl/sciencecommons/>
rr:,<http://www.w3.org/ns/r2rml#>
oo:,<http://purl.org/openorg/>
doap:,<http://usefulinc.com/ns/doap#>
prog:,<http://purl.org/prog/>
swrc:,<http://swrc.ontoware.org/ontology#>
vann:,<http://purl.org/vocab/vann/>
dbpprop:,<http://dbpedia.org/property/>
ma:,<http://www.w3.org/ns/ma-ont#>
nie:,<http://www.semanticdesktop.org/ontologies/2007/01/19/nie#>
http:,<http://www.w3.org/2011/http#>
content:,<http://purl.org/rss/1.0/modules/content/>
gen:,<http://purl.org/gen/0.1#>
tl:,<http://purl.org/NET/c4dm/timeline.owl#>
ov:,<http://open.vocab.org/terms/>
akt:,<http://www.aktors.org/ontology/portal#>
wot:,<http://xmlns.com/wot/0.1/>
fn:,<http://www.w3.org/2005/xpath-functions#>
vs:,<http://www.w3.org/2003/06/sw-vocab-status/ns#>
swc:,<http://data.semanticweb.org/ns/swc/ontology#>
aiiso:,<http://purl.org/vocab/aiiso/schema#>
dcterm:,<http://purl.org/dc/terms/>
marcrel:,<http://id.loc.gov/vocabulary/relators/>
ical:,<http://www.w3.org/2002/12/cal/ical#>
cv:,<http://rdfs.org/resume-rdf/>
dbowl:,<http://ontology.cybershare.utep.edu/dbowl/relational-to-ontology-mapping-primitive.owl#>
earl:,<http://www.w3.org/ns/earl#>
mo:,<http://purl.org/ontology/mo/>
xhtml:,<http://www.w3.org/1999/xhtml#>
rel:,<http://purl.org/vocab/relationship/>
prop:,<http://dbpedia.org/property/>
dcam:,<http://purl.org/dc/dcam/>
xmp:,<http://ns.adobe.com/xap/1.0/>
bio:,<http://purl.org/vocab/bio/0.1/>
ad:,<http://schemas.talis.com/2005/address/schema#>
daia:,<http://purl.org/ontology/daia/>
crm:,<http://www.cidoc-crm.org/cidoc-crm/>
dc11:,<http://purl.org/dc/elements/1.1/>
test2:,<http://this.invalid/test2#>
bill:,<http://www.rdfabout.com/rdf/schema/usbill/>
rdfg:,<http://www.w3.org/2004/03/trix/rdfg-1/>
cs:,<http://purl.org/vocab/changeset/schema#>
factbook:,<http://wifo5-04.informatik.uni-mannheim.de/factbook/ns#>
xhv:,<http://www.w3.org/1999/xhtml/vocab#>
pc:,<http://purl.org/procurement/public-contracts#>
co:,<http://purl.org/ontology/co/core#>
dv:,<http://rdf.data-vocabulary.org/#>
og:,<http://ogp.me/ns#>
d2rq:,<http://www.wiwiss.fu-berlin.de/suhl/bizer/D2RQ/0.1#>
air:,<http://dig.csail.mit.edu/TAMI/2007/amord/air#>
musim:,<http://purl.org/ontology/similarity/>
log:,<http://www.w3.org/2000/10/swap/log#>
book:,<http://purl.org/NET/book/vocab#>
cyc:,<http://sw.opencyc.org/concept/>
afn:,<http://jena.hpl.hp.com/ARQ/function#>
ctag:,<http://commontag.org/ns#>
admin:,<http://webns.net/mvcb/>
media:,<http://search.yahoo.com/searchmonkey/media/>
ir:,<http://www.ontologydesignpatterns.org/cp/owl/informationrealization.owl#>
xs:,<http://www.w3.org/2001/XMLSchema#>
con:,<http://www.w3.org/2000/10/swap/pim/contact#>
days:,<http://ontologi.es/days#>
xfn:,<http://gmpg.org/xfn/11#>
tzont:,<http://www.w3.org/2006/timezone#>
biblio:,<http://purl.org/net/biblio#>
mu:,<http://mu.semte.ch/vocabularies/core/>
cal:,<http://www.w3.org/2002/12/cal/ical#>
tag:,<http://www.holygoat.co.uk/owl/redwood/0.1/tags/>
botany:,<http://purl.org/NET/biol/botany#>
time:,<http://www.w3.org/2006/time#>
dcq:,<http://purl.org/dc/qualifiers/1.0/>
sism:,<http://purl.oclc.org/NET/sism/0.1/>
osag:,<http://www.ordnancesurvey.co.uk/ontology/AdministrativeGeography/v2.0/AdministrativeGeography.rdf#>
oa:,<http://www.w3.org/ns/oa#>
af:,<http://purl.org/ontology/af/>
xf:,<http://www.w3.org/2002/xforms/>
reco:,<http://purl.org/reco#>
ome:,<http://purl.org/ontomedia/core/expression#>
cld:,<http://purl.org/cld/terms/>
sdmxdim:,<http://purl.org/linked-data/sdmx/2009/dimension#>
dir:,<http://schemas.talis.com/2005/dir/schema#>
sr:,<http://www.openrdf.org/config/repository/sail#>
rif:,<http://www.w3.org/2007/rif#>
myspace:,<http://purl.org/ontology/myspace#>
obo:,<http://purl.obolibrary.org/obo/>
cmp:,<http://www.ontologydesignpatterns.org/cp/owl/componency.owl#>
ok:,<http://okkam.org/terms#>
memo:,<http://ontologies.smile.deri.ie/2009/02/27/memo#>
jdbc:,<http://d2rq.org/terms/jdbc/>
sio:,<http://semanticscience.org/resource/>
rev:,<http://purl.org/stuff/rev#>
lomvoc:,<http://ltsc.ieee.org/rdf/lomv1p0/vocabulary#>
gn:,<http://www.geonames.org/ontology#>
math:,<http://www.w3.org/2000/10/swap/math#>
giving:,<http://ontologi.es/giving#>
sdmx:,<http://purl.org/linked-data/sdmx#>
swande:,<http://purl.org/swan/1.2/discourse-elements/>
swanq:,<http://purl.org/swan/1.2/qualifiers/>
dcn:,<http://www.w3.org/2007/uwa/context/deliverycontext.owl#>
owlim:,<http://www.ontotext.com/trree/owlim#>
cfp:,<http://sw.deri.org/2005/08/conf/cfp.owl#>
as:,<https://www.w3.org/ns/activitystreams#>
photoshop:,<http://ns.adobe.com/photoshop/1.0/>
wfs:,<http://schemas.opengis.net/wfs/>
unit:,<http://qudt.org/vocab/unit#>
